API,Formula_API,MW_API,LogP_API,AlogP_API,HBA_API,HBD_API,TPSA_API,AMR_API,nRB_API,nAtom_API,nAcidicGroup_API,RC_API,nRigidB_API,nAromaticRings_API,nHB_API,E_API,Eaq_API,relE_API,relEaq_API,EHOMO_API,ELUMO_API,Dipole_API,SolvationE_API,Solubility_API,Acidicpka1_API,Acidicpka2_API,Acidicpka3_API,Acidicpka4_API,Basicpka1_API,Basicpka2_API,Basicpka3_API,Basicpka4_API,MeltingP_API,MW_Co,LogP_Co,AlogP_Co,HBA_Co,HBD_Co,TPSA_Co,AMR_Co,nRB_Co,nAtom_Co,nAcidicGroup_Co,RC_Co,nRigidB_Co,nAromaticRing_Co,nHB_Co,E_Co,Eaq_Co,relE_Co,relEaq_Co,EHOMO_Co,ELUMO_Co,Dipole_Co,SolvationE_Co,Solubility_Co,Acidicpka1_Co,Acidicpka2_Co,Acidicpka3_Co,Acidicpka4_Co,Basicpka1_Co,Basicpka2_Co,Basicpka3_Co,Basicpka4_Co,MeltingP_Co,Formation_Binary,Coformer,Formula_Co,Formation
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,154.121,0.616,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498906.79,-1498970.38,0,0,-543.23,-124.22,1.91,-63.584,3184.1063,2.53,10.02,15.52,0,0,0,0,0,199.5,0,"2,5-dihydroxybenzoic acid",C₇H₆O₄,S
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,132.115,-0.352,-0.698,4,2,74.6,26.45,4,17,2,0,4,0,6,-1302207.44,-1302243.65,0,0,-696.86,0.64,0.22,-36.22,37852.4867,3.76,4.56,0,0,0,0,0,0,97.8,1,glutaric acid,C₅H₈O₄,CC
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,164.16,0.751,0.766,3,2,57.53,48.8,2,20,1,1,10,1,5,-1504577.41,-1504620.46,0,0,-572.45,-151.67,3.15,-43.054,345.4169,3.81,9.51,0,0,0,0,0,0,211.5,0,p-coumaric acid,C₉H₈O₃,S
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,146.142,0.006,-0.986,4,2,74.6,29.36,5,20,2,0,4,0,6,-1405330.41,-1405366.75,0,0,-701.14,13.16,0,-36.34,20673.6768,3.92,4.7,0,0,0,0,0,0,153.2,1,adipic acid,C₆H₁₀O₄,CC
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,174.196,1.144,-1.562,4,2,74.6,35.18,7,26,2,0,4,0,6,-1611585.68,-1611631.84,0,0,-642.63,-30.07,2.85,-46.16,2141.5936,4.15,4.9,0,0,0,0,0,0,144,1,suberic acid,C₈H₁₄O₄,CC
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,248.019,1.372,1.25,2,1,37.3,49.27,1,15,1,1,9,1,3,-1132408.12,-1132430.45,0,0,-639.37,-167.51,1.32,-22.33,248.019,4.05,0,0,0,0,0,0,0,271.5,1,4-iodobenzoic acid,C₇H₅IO₂,CC
Clotrimazole,C₂₂H₁₇ClN₂,344.845,3.819,2.032,2,0,15.6,115.11,4,42,0,4,24,4,2,-3721709.49,-3721741.19,0,0,-546.4,-88.45,3.31,-31.7,0.0008,0,0,0,0,6.26,0,0,0,148,123.111,-0.508,-0.717,3,1,49.66,33.39,1,14,1,1,8,1,4,-1146234.69,-1146270.46,0,0,-669.96,-169.45,0.56,-35.78,6410.9501,3.9,0,0,0,3.08,0,0,0,236.6,1,nicotinic acid,C₆H₅NO₂,CC
Clozapine,C₁₈H₁₉ClN₄,326.831,2.511,0.904,4,1,30.87,102.83,1,42,0,4,25,2,5,-3612366.19,-3612404.47,0,0,-477.75,-134.1,4.62,-38.28,0.1119,15.9,0,0,0,7.35,3.92,0,0,183.5,32.042,-0.499,-0.358,1,1,20.23,8.26,0,6,0,0,1,0,2,-303607.93,-303630.29,0,0,-670.89,194.06,1.69,-22.36,413.5889,15.78,0,0,0,0,0,0,0,-97.8,0,Methanol ,CH₄O,So
Clozapine,C₁₈H₁₉ClN₄,326.831,2.511,0.904,4,1,30.87,102.83,1,42,0,4,25,2,5,-3612366.19,-3612404.47,0,0,-477.75,-134.1,4.62,-38.28,0.1119,15.9,0,0,0,7.35,3.92,0,0,183.5,46.069,-0.076,-0.108,1,1,20.23,12.56,0,9,0,0,2,0,2,-406748.97,-406769.01,0,0,-667.9,194.89,1.67,-20.04,271.5489,0,0,0,0,0,0,0,0,-114.14,0,ethanol ,C₂H₆O,So
Danazol,C₂₂H₂₇NO₂,337.463,4.277,1.702,1,1,41.82,97.66,0,52,0,5,29,1,2,-2780025.15,-2780058.92,0,0,-530.77,-109.59,5.1,-33.76,0.0023,0,0,0,0,0.25,-1.67,0,0,225.5,168.148,0.508,-0.094,4,2,66.76,45.2,2,20,1,1,10,1,6,-1602014.07,-1602058.08,0,0,-553.06,-102.66,4.17,-44.009,1254.752,4.16,10.14,0,0,0,0,0,0,211.5,1,vanillic acid,C₈H₈O₄,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,232.3,0.592,-0.203,4,1,79.82,53.89,2,31,1,2,14,0,5,-2859864.24,-2859930.53,0,0,-614.62,-75.46,4.57,-66.285,1321.4973,-0.81,0,0,0,0,0,0,0,195,0,camphorsulfonic acid,C₁₀H₁₆O₄S,S
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,218.185,-0.754,-0.583,6,3,120.28,48.81,2,20,2,1,12,1,9,-2939126.3,-2939211.19,0,0,-657.68,-203.96,3.33,-84.889,3254.7575,-2.81,2.62,12.13,0,0,0,0,0,120,0,5-sulfosalicylic acid,C₇H₆O₆S,S
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,211.129,0.099,0.746,4,2,117.74,46.17,3,20,2,1,12,1,6,-2135681.16,-2135717.53,0,0,-764.73,-284.39,3.68,-36.36,211.129,2.94,3.78,0,0,0,0,0,0,262,1,5-nitroisophthalic acid,C₈H₅NO₆,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,41.053,0.031,0.045,1,0,23.79,11.62,0,6,0,0,2,0,1,-348277.01,-348294.2,0,0,-840.58,85.33,3.83,-17.2,73.2585,0,0,0,0,0,0,0,0,-44,0,acetonitrile,C₂H₃N,So
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,61.04,0.348,0.426,0,0,43.14,9.31,0,7,0,0,3,0,0,-642928.11,-642945.53,0,0,-751.87,-193.13,3.46,-17.42,67.033,9.14,0,0,0,0,0,0,0,-28.7,0,nitromethane,CH₃NO₂,So
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,213.105,1.467,2.043,0,0,129.42,40.61,3,18,0,1,12,1,0,-2219031.54,-2219070.23,0,0,-817.41,-468.63,0.29,-38.69,0.0535,0,0,0,0,0,0,0,0,121.3,1,"1,3,5-trinitrobenzene",C₆H₃N₃O₆,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,163.224,0.017,-1.089,3,1,27.63,51.76,1,25,0,2,12,1,4,-1351145.94,-1351192.35,0,0,-551.21,-32.39,3.81,-46.411,9686.2992,0,0,0,0,9.08,8.42,0,0,139,1,1-(pyridin-4-yl)piperazine,C₉H₁₃N₃,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,88.106,-0.38,-0.262,2,0,18.46,22.09,0,14,0,1,6,0,2,-807218.32,-807244.29,0,0,-595.31,252.27,0,-25.965,130.6366,0,0,0,0,0,0,0,0,11.75,1,"1,4-dioxane",C₄H₈O₂,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,72.107,0.526,-0.707,1,0,9.23,16.87,0,13,0,1,5,0,1,-609838.98,-609853.98,0,0,-601.02,224.94,1.78,-15,70.4922,0,0,0,0,0,0,0,0,-108.44,1,tetrahydrofuran,C₄H₈O,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,156.188,-0.328,-0.954,2,0,24.72,52.33,1,20,0,2,12,2,2,-1299633.92,-1299672.76,0,0,-660.74,-152.98,0,-38.835,5.5565,0,0,0,0,5.25,4.44,0,0,111,1,"4,4'-bipyridine ",C₁₀H₈N₂,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,113.16,0.404,-1.452,2,1,29.1,25.44,0,19,0,1,8,0,3,-958273.43,-958298.02,0,0,-594.41,81.79,3.97,-24.59,84.5835,14.99,0,0,0,-1.44,0,0,0,69.3,1,caprolactam,C₆H₁₁NO,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,212.117,0.783,1.395,2,1,123.58,43.39,3,19,1,1,12,1,3,-2177498.8,-2177519.78,0,0,-797.7,-327.06,3.71,-20.98,212.117,2.86,0,0,0,0,0,0,0,205,1,"3,5-dinitrobenzoic acid",C₇H₄N₂O₆,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,288.3,-1.788,-0.029,6,2,125.5,69.65,2,26,2,2,17,2,8,-4287452.3,-4287576.18,0,0,-650.56,-254.66,4.43,-123.883,288.29,-2.72,-1.93,0,0,0,0,0,0,110,0,"1,5-naphthalenedisulfonic acid",C₁₀H₈O₆S₂,H
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,222.243,2.225,1.465,2,0,26.3,75.34,1,27,0,3,18,2,2,-1910174.21,-1910197.13,0,0,-596.91,-164.76,3.81,-22.92,0.0069,0,0,0,0,0,0,0,0,100,1,Flavone,C₁₅H₁₀O₂,CC
Dapsone,C₁₂H₁₂N₂O₂S,248.306,-0.49,-0.905,4,2,94.56,76.31,2,29,0,2,16,2,6,-2946057.28,-2946144.74,0,0,-544.28,-67.84,5.82,-87.463,0.3053,0,0,0,0,2.39,1.57,0,0,175.5,194.194,-0.495,-0.96,6,0,56.22,49.71,0,24,0,2,15,1,6,-1785186.89,-1785226.66,0,0,-563.01,-87.51,3.82,-39.78,70.9402,0,0,0,0,-1.16,0,0,0,238,1,Caffeine,C₈H₁₀N₄O₂,CC
Desipramine ,C₁₈H₂₂N₂,266.388,2.361,1.077,2,1,15.27,92.09,4,42,0,3,18,2,3,-2121409.41,-2121421.07,0,0,-469.5,-12.28,1.85,-11.654,67.8092,0,0,0,0,10.02,0.04,0,0,216,229.104,3.102,1.48,1,1,149.65,42.21,3,19,0,1,13,1,2,-2416396.87,-2416439.62,0,0,-781.19,-474.94,1.89,-42.755,229.104,2.34,0,0,0,0,0,0,0,121.8,0,Picric acid ,C₆H₃N₃O₇,S
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,115.132,-0.185,-1.382,3,2,49.33,24.38,1,17,1,1,7,0,5,-1052531.13,-1052565.39,0,0,-552.61,7.69,1.68,-34.26,181.1516,1.94,0,0,0,11.33,0,0,0,221,1,l-proline,C₅H₉NO₂,CC
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,84.162,3.414,-1.728,0,0,0,17.47,0,18,0,1,6,0,0,-618741.15,-618737.02,0,0,-746.67,225.5,0,4.13,0.1302,0,0,0,0,0,0,0,0,6.47,0,Cyclohexane,C₆H₁₂,So
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,156.188,-0.328,-0.954,2,0,24.72,52.33,1,20,0,2,12,2,2,-1299633.92,-1299672.76,0,0,-660.74,-152.98,0,-38.835,5.5565,0,0,0,0,5.25,4.44,0,0,111,0,"4,4'-bipyridine ",C₁₀H₈N₂,So
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,112.128,-0.73,-0.388,2,0,34.14,28.89,0,16,0,1,8,0,2,-1007229.95,-1007257.57,0,0,-635.02,-117.2,0,-27.629,229.5535,0,0,0,0,0,0,0,0,78,0,"1,4-cyclohexanedione",C₆H₈O₂,So
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,184.242,0.152,-0.829,2,0,24.72,62.06,3,26,0,2,12,2,2,-1488944.89,-1488991.4,0,0,-942.45,294.66,0,-46.503,5.8368,0,0,0,0,5.98,5.38,0,0,0,1,"4,4'-ethane-1,2-diyldipyridine",C₁₂H₁₂N₂,CC
Efavirenz,C₁₄H₉ClF₃NO₂,315.678,3.662,2.654,3,1,38.33,71.58,1,30,0,3,22,1,4,-3946576.77,-3946598.53,0,0,-604.96,-125.16,4.05,-21.75,0.0005,12.52,0,0,0,-1.49,0,0,0,140,182.226,3.098,-0.373,2,0,25.78,16.92,2,24,0,2,13,2,2,-1502664.27,-1502707.71,0,0,-639.55,-160.02,3.41,-43.437,1.9436,0,0,0,0,5.59,4.99,0,0,0,1,"4,4'-ethene-1,2-diyldipyridine",C₁₂H₁₀N₂,CC
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,59.112,0.317,-0.698,1,1,26.02,19.42,0,13,0,0,3,0,2,-457718.93,-457734.23,0,0,-565.98,197.81,1.31,-15.299,11367.6425,0,0,0,0,10.43,0,0,0,-95.1,0,isopropylamine,C₃H₉N,S
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,102.201,2.456,-2.533,0,1,27.64,22.26,4,23,0,0,2,0,1,-768055.68,-768350.5,0,0,-1084.72,-444.3,14.4,-294.821,404.4197,0,0,0,0,10.21,0,0,0,0,0,n-hexylammonium,C₆H₁₆N,S
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,100.185,1.796,-2.934,0,1,27.64,17.96,0,21,0,1,7,0,1,-764936.73,-765207.03,0,0,-1187.68,-424.72,6.27,-270.299,1068.6262,0,0,0,0,10.45,0,0,0,0,0,cyclohexylammonium,C₆H₁₄N,S
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,122.191,1.64,0.031,0,1,27.64,38.9,2,21,0,1,7,1,1,-961694.88,-961997.82,0,0,-931.51,-442.31,13.48,-302.932,1144.9186,0,0,0,0,9.79,0,0,0,0,0,2-phenylethylammonium,C₈H₁₂N,S
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,86.138,-0.772,-0.794,2,2,24.06,25.45,0,16,0,1,6,0,4,-702878.86,-702920.32,0,0,-534.31,196.59,0,-41.459,82104.2547,0,0,0,0,9.56,5.18,0,0,106,0,piperazine,C₄H₁₀N₂,S
Etodolac,C₁₇H₂₁NO₃,287.359,1.698,-0.336,4,2,58.56,83.58,4,42,1,3,19,2,6,-2468568.79,-2468600.93,0,0,-489.7,-39.44,2.64,-32.14,4.1773,4.73,0,0,0,0,0,0,0,146.5,122.127,-1.236,-1.112,3,1,55.45,33.61,1,15,0,1,8,1,4,-1094051.2,-1094098.06,0,0,-653.81,-164.2,3.42,-46.865,50.9999,13.71,0,0,0,3.45,0,0,0,156,1,isonicotinamide,C₆H₆N₂O,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,62.068,-1.208,-0.897,2,2,40.46,14.55,1,10,0,0,2,0,4,-604126.74,-604158.23,0,0,-654.16,152.69,2.61,-6.78,848.1465,14.83,0,0,0,0,0,0,0,-12.69,0,ethylene glycol,C₂H₆O₂,So
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,76.095,-0.748,-0.908,2,2,40.46,19.14,1,13,0,0,3,0,4,-707268.31,-707295.14,0,0,-645.73,155.31,2.55,-26.83,425.6506,14.47,16,0,0,0,0,0,0,-60,0,"1,2-propanediol",C₃H₈O₂,So
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,45.041,-1.044,-0.704,2,1,43.09,8.79,0,6,0,0,2,0,3,-445776.55,-445811.15,0,0,-646.82,68.37,3.84,-34.6,320.7103,0,0,0,0,-0.71,0,0,0,2.55,0,formamide,CH₃NO,So
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,78.135,-0.718,-0.317,1,0,36.28,20.56,0,10,0,0,3,0,1,-1452140.27,-1452202.65,0,0,-565.77,108.09,3.92,-62.38,681.8291,0,0,0,0,0,0,0,0,18.45,0,Dimethyl Sulfoxide ,C₂H₆OS,So
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,99.133,-0.17,-0.774,2,0,20.31,25.31,0,16,0,1,7,0,2,-855152.77,-855174.9,0,0,-595.7,86.15,3.74,-22.14,114.3049,0,0,0,0,-1.7,0,0,0,-25,0,n-methylpyrrolidone,C₅H₉NO,So
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,110.112,0.654,0.277,2,2,40.46,34.17,0,14,0,1,8,1,4,-1004060.81,-1004105.64,0,0,-507.12,-12.42,0,-44.83,33.3124,9.68,11.55,0,0,0,0,0,0,172.3,1,hydroquinone,C₆H₆O₂,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,116.072,-0.416,-0.225,4,2,74.6,24.61,2,12,2,0,5,0,6,-1195834.61,-1195878.57,0,0,-709.27,-183.76,2.16,-43.96,6642.8356,3.35,4.22,0,0,0,0,0,0,287,1,fumaric acid,C₄H₄O₄,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,110.112,0.654,0.277,2,2,40.46,34.17,0,14,0,1,8,1,4,-1004070.09,-1004114.08,0,0,-542.92,12.79,1.37,-43.98,33.4233,9.26,10.73,0,0,0,0,0,0,109.8,1,resorcinol,C₆H₆O₂,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,134.087,-1.474,-1.062,5,3,94.83,24.88,3,15,2,0,5,0,8,-1396471.34,-1396520.39,0,0,-667.14,-72.37,3.85,-49.05,38685.1755,3.2,5.13,14.3,0,0,0,0,0,131,1,malic acid,C₄H₆O₅,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,90.034,-0.688,-0.48,4,2,74.6,14.44,1,8,2,0,4,0,6,-992772.6,-992803.43,0,0,-718.06,-199.72,0.01,-30.83,21764.9932,1.36,4.11,0,0,0,0,0,0,189.5,1,oxalic acid,C₂H₂O₄,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,118.088,-0.71,-0.41,4,2,74.6,23.54,3,14,2,0,4,0,6,-1199080.67,-1199124.97,0,0,-709.42,11.99,1.45,-44.3,69013.3023,3.55,5.69,0,0,0,0,0,0,188,1,succinic acid,C₄H₆O₄,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,229.104,3.102,1.48,1,1,149.65,42.21,3,19,0,1,13,1,2,-2416396.87,-2416439.62,0,0,-781.19,-474.94,1.89,-42.755,229.104,2.34,0,0,0,0,0,0,0,121.8,0,Picric acid ,C₆H₃N₃O₇,S
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,146.142,0.006,-0.986,4,2,74.6,29.36,5,20,2,0,4,0,6,-1405330.41,-1405366.75,0,0,-701.14,13.16,0,-36.34,20673.6768,3.92,4.7,0,0,0,0,0,0,153.2,1,adipic acid,C₆H₁₀O₄,CC
Etoricoxib,C₁₈H₁₅ClN₂O₂S,358.849,0.882,0.53,4,0,67.24,105.06,3,39,0,3,23,3,4,-4758953.17,-4759019.45,0,0,-631.96,-169.36,4.14,-66.28,0.0141,0,0,0,0,4.96,1.59,0,0,0,113.16,0.404,-1.452,2,1,29.1,25.44,0,19,0,1,8,0,3,-958273.43,-958298.02,0,0,-594.41,81.79,3.97,-24.59,84.5835,14.99,0,0,0,-1.44,0,0,0,69.3,0,caprolactam,C₆H₁₁NO,H
